section	heading	page	mapping
00.01	Foreword	xvii	n/a
00.02	Foreword to the 2004 Edition	xix	n/a
00.03	Editors	xxi	n/a
00.04	Coeditors	xxi	n/a
00.05	Contributing Editors	xxi	n/a
00.06	Change Control Board	xxi	n/a
00.07	Knowledge Area Editors	xxiii	n/a
00.08	Knowledge Area Editors of Previous SWEBOK Versions	xxv	n/a
00.09	Review Team	xxvii	n/a
00.10	Acknowledgements	xxix	n/a
00.11	Professional Activities Board, 2013 Membership	xxix	n/a
00.12	Motions Regarding the Approval of SWEBOK Guide V3.0	xxx	n/a
00.13	Motions Regarding the Approval of SWEBOK Guide 2004 Version	xxx	n/a
00.14	Introduction to the Guide	xxxi	n/a
01	Software Requirements	1-1	
01.01	Software Requirements Fundamentals	1-1	
01.01.01	Definition of a Software Requirement	1-1	
01.01.02	Product and Process Requirements	1-2	
01.01.03	Functional and Nonfunctional Requirements	1-3	
01.01.04	Emergent Properties	1-3	
01.01.05	Quantifiable Requirements	1-3	
01.01.06	System Requirements and Software Requirements	1-3	
01.02	Requirements Process	1-3	
01.02.01	Process Models	1-4	
01.02.02	Process Actors	1-4	
01.02.03	Process Support and Management	1-4	
01.02.04	Process Quality and Improvement	1-4	
01.03	Requirements Elicitation	1-5	
01.03.01	Requirements Sources	1-5	
01.03.02	Elicitation Techniques	1-6	
01.04	Requirements Analysis	1-7	
01.04.01	Requirements Classification	1-7	
01.04.02	Conceptual Modeling	1-8	
01.04.03	Architectural Design and Requirements Allocation	1-9	
01.04.04	Requirements Negotiation	1-9	
01.04.05	Formal Analysis	1-10	
01.05	Requirements Specification	1-10	
01.05.01	System Definition Document	1-10	
01.05.02	System Requirements Specification	1-10	
01.05.03	Software Requirements Specification	1-11	
01.06	Requirements Validation	1-11	
01.06.01	Requirements Reviews	1-11	
01.06.02	Prototyping	1-12	
01.06.03	Model Validation	1-12	
01.06.04	Acceptance Tests	1-12	
01.07	Practical Considerations	1-12	
01.07.01	Iterative Nature of the Requirements Process	1-13	
01.07.02	Change Management	1-13	
01.07.03	Requirements Attributes	1-13	
01.07.04	Requirements Tracing	1-14	
01.07.05	Measuring Requirements	1-14	
01.08	Software Requirements Tools	1-14	
01.09	Matrix of Topics vs. Reference Material	1-15	n/a
02	Software Design	2-1	
02.01	Software Design Fundamentals	2-2	
02.01.01	General Design Concepts	2-2	
02.01.02	Context of Software Design	2-2	
02.01.03	Software Design Process	2-2	
02.01.04	Software Design Principles	2-3	
02.02	Key Issues in Software Design	2-3	
02.02.01	Concurrency	2-4	
02.02.02	Control and Handling of Events	2-4	
02.02.03	Data Persistence	2-4	
02.02.04	Distribution of Components	2-4	
02.02.05	Error and Exception Handling and Fault Tolerance	2-4	
02.02.06	Interaction and Presentation	2-4	
02.02.07	Security	2-4	
02.03	Software Structure and Architecture	2-4	
02.03.01	Architectural Structures and Viewpoints	2-5	
02.03.02	Architectural Styles	2-5	
02.03.03	Design Patterns	2-5	
02.03.04	Architecture Design Decisions	2-5	
02.03.05	Families of Programs and Frameworks	2-5	
02.04	User Interface Design	2-5	
02.04.01	General User Interface Design Principles	2-6	
02.04.02	User Interface Design Issues	2-6	
02.04.03	The Design of User Interaction Modalities	2-6	
02.04.04	The Design of Information Presentation	2-6	
02.04.05	User Interface Design Process	2-7	
02.04.06	Localization and Internationalization	2-7	
02.04.07	Metaphors and Conceptual Models	2-7	
02.05	Software Design Quality Analysis and Evaluation	2-7	
02.05.01	Quality Attributes	2-7	
02.05.02	Quality Analysis and Evaluation Techniques	2-8	
02.05.03	Measures	2-8	
02.06	Software Design Notations	2-8	
02.06.01	Structural Descriptions (Static View)	2-8	
02.06.02	Behavioral Descriptions (Dynamic View)	2-9	
02.07	Software Design Strategies and Methods	2-10	
02.07.01	General Strategies	2-10	
02.07.02	Function-Oriented (Structured) Design	2-10	
02.07.03	Object-Oriented Design	2-10	
02.07.04	Data Structure-Centered Design	2-10	
02.07.05	Component-Based Design (CBD)	2-10	
02.07.06	Other Methods	2-10	
02.08	Software Design Tools	2-11	
02.09	Matrix of Topics vs. Reference Material	2-12	n/a
03	Software Construction	3-1	
03.01	Software Construction Fundamentals	3-1	
03.01.01	Minimizing Complexity	3-3	
03.01.02	Anticipating Change	3-3	
03.01.03	Constructing for Verification	3-3	
03.01.04	Reuse	3-3	
03.01.05	Standards in Construction	3-3	
03.02	Managing Construction	3-4	
03.02.01	Construction in Life Cycle Models	3-4	
03.02.02	Construction Planning	3-4	
03.02.03	Construction Measurement	3-4	
03.03	Practical Considerations	3-5	
03.03.01	Construction Design	3-5	
03.03.02	Construction Languages	3-5	
03.03.03	Coding	3-6	
03.03.04	Construction Testing	3-6	
03.03.05	Construction for Reuse	3-6	
03.03.06	Construction with Reuse	3-7	
03.03.07	Construction Quality	3-7	
03.03.08	Integration	3-7	
03.04	Construction Technologies	3-8	
03.04.01	API Design and Use	3-8	
03.04.02	Object-Oriented Runtime Issues	3-8	
03.04.03	Parameterization and Generics	3-8	
03.04.04	Assertions, Design by Contract, and Defensive Programming	3-8	
03.04.05	Error Handling, Exception Handling, and Fault Tolerance	3-9	
03.04.06	Executable Models	3-9	
03.04.07	State-Based and Table-Driven Construction Techniques	3-9	
03.04.08	Runtime Configuration and Internationalization	3-10	
03.04.09	Grammar-Based Input Processing	3-10	
03.04.10	Concurrency Primitives	3-10	
03.04.11	Middleware	3-10	
03.04.12	Construction Methods for Distributed Software	3-11	
03.04.13	Constructing Heterogeneous Systems	3-11	
03.04.14	Performance Analysis and Tuning	3-11	
03.04.15	Platform Standards	3-11	
03.04.16	Test-First Programming	3-11	
03.05	Software Construction Tools	3-12	
03.05.01	Development Environments	3-12	
03.05.02	GUI Builders	3-12	
03.05.03	Unit Testing Tools	3-12	
03.05.04	Profiling, Performance Analysis, and Slicing Tools	3-12	
03.06	Matrix of Topics vs. Reference Material	3-13	n/a
04	Software Testing	4-1	
04.01	Software Testing Fundamentals	4-3	
04.01.01	Testing-Related Terminology	4-3	
04.01.02	Key Issues	4-3	
04.01.03	Relationship of Testing to Other Activities	4-4	
04.02	Test Levels	4-5	
04.02.01	The Target of the Test	4-5	
04.02.02	Objectives of Testing	4-5	
04.03	Test Techniques	4-7	
04.03.01	Based on the Software Engineer’s Intuition and Experience	4-8	
04.03.02	Input Domain-Based Techniques	4-8	
04.03.03	Code-Based Techniques	4-8	
04.03.04	Fault-Based Techniques	4-9	
04.03.05	Usage-Based Techniques	4-9	
04.03.06	Model-Based Testing Techniques	4-10	
04.03.07	Techniques Based on the Nature of the Application	4-10	
04.03.08	Selecting and Combining Techniques	4-11	
04.04	Test-Related Measures	4-11	
04.04.01	Evaluation of the Program Under Test	4-11	
04.04.02	Evaluation of the Tests Performed	4-12	
04.05	Test Process	4-12	
04.05.01	Practical Considerations	4-13	
04.05.02	Test Activities	4-14	
